"Data.Number Plate","Data.State","Data.Car.Make","Data.Car.Style","Data.Car.Color","Data.Location","Data.Violation","Data.Fine","Date.Year","Date.Month","Date.Day","Date.Time.Hour","Date.Time.Minute"
"XGH2360","VA","Mitsubishi","Two Door","Orange","UNION STREET","HANDICAPPED PARKING C","425.0","2019","4","25","10","4"
"UJK2837","VA","Nissan","Four Door","White","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","415.0","2020","8","10","7","8"
"G53580","VA","Chevrolet","Sports Utility Veh","Burgundy","CLIFTON STREET","HANDICAPPED PARKING ","415.0","2020","8","12","11","8"
"VRS7759","VA","Ford","Four Door","Gray","GRANBY STREET","HANDICAPPED PARKING ","415.0","2020","8","24","15","8"
"UJT8458","VA","Chevrolet","Four Door","Gray","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","415.0","2020","9","14","8","9"
"UJG2695","VA","Kia","Four Door","Blue","FRAMENT AVENUE","HANDICAPPED PARKING ","415.0","2020","11","2","20","11"
"VWD6430","VA","Ford","Truck","Silver","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","415.0","2020","12","3","8","12"
"UJY2505","VA","Jeep","Sports Utility Veh","Gray","SEAY AVENUE","HANDICAPPED PARKING ","415.0","2020","12","23","5","12"
"UFX9169","VA","Mercedes-Benz","Four Door","Silver","W VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","415.0","2020","12","24","17","12"
"UWG2123","VA","General Motors","Sports Utility Veh","Black","LITTLE CREEK RD","HANDICAPPED PARKING ","415.0","2021","1","9","22","1"
"UGV8951","VA","Audi","Two Door","Gray","W 49TH ST","HANDICAPPED PARKING ","415.0","2021","1","30","10","1"
"ULW3802","VA","Chevrolet","Four Door","Gray","GARAGE B","HANDICAPPED PARKING ","415.0","2021","3","14","9","3"
"UGR5545","VA","Toyota","Four Door","Tan","OLNEY ROAD","HANDICAPPED PARKING ","415.0","2021","3","20","22","3"
"UEV5877","VA","Land Rover","Sports Utility Veh","Gray","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","415.0","2021","3","23","8","3"
"UHW7725","VA","Volkswagen","Sports Utility Veh","Blue","NEWPORT AVENUE","HANDICAPPED PARKING ","415.0","2021","3","29","11","3"
"UHR3926","VA","Chrysler"," ","Red","NORFOLK INT'L AIRPORT","HANDICAPPED PARKING ","415.0","2021","4","9","19","4"
"UNP4832","VA","Toyota","Two Door","Red","KIMBALL TERRACE","HANDICAPPED PARKING ","415.0","2021","4","14","8","4"
"UFU1698","VA","Hyundai","Four Door","Silver","BAGNALL ROAD","HANDICAPPED PARKING ","415.0","2021","4","14","12","4"
"UPZ8051","VA","Nissan","Four Door","Silver","BAGNALL ROAD","HANDICAPPED PARKING ","415.0","2021","4","17","14","4"
"UUN4170","VA","Nissan","Four Door","Black","GOFF STREET","HANDICAPPED PARKING ","415.0","2021","4","22","1","4"
"VVN3570","VA","Kia","Van","Blue","NICHOLSON STREET","HANDICAPPED PARKING C","400.0","2018","9","2","19","9"
"XAK2625","VA","Pontiac","Four Door","Blue","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2018","10","6","13","10"
"WSG5478","VA","Honda","Four Door","Blue","UNION STREET","HANDICAPPED PARKING C","400.0","2018","11","9","10","11"
"VXG9360","VA","Acura","Four Door","Blue","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2018","12","8","12","12"
"UXR6573","VA","Nissan","Sports Utility Veh","Blue","UNION STREET","HANDICAPPED PARKING C","400.0","2018","12","28","14","12"
"UWR9145","VA","Chrysler","Four Door","Burgundy","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2019","1","5","12","1"
"VZU4911","VA","Chrysler","Four Door","Beige","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2019","1","5","14","1"
"HDAGUY","VA","Honda","Four Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2019","2","23","9","2"
"MRSRLP","VA","General Motors","Sports Utility Veh","Green","UNION STREET","HANDICAPPED PARKING C","400.0","2019","3","4","11","3"
"VXS1709","VA","Dodge","Four Door","Black","BROOKE AVENUE","HANDICAPPED PARKING C","400.0","2019","3","19","19","3"
"UZZ6390","VA","Nissan","Four Door","Silver","BOUSH STREET","HANDICAPPED PARKING C","400.0","2019","3","22","17","3"
"89316G","VA","Toyota","Four Door","Burgundy","E OLNEY ROAD","HANDICAPPED PARKING C","400.0","2019","4","19","16","4"
"VXG2233","VA","Buick","Four Door","White","COLLEGE PLACE","HANDICAPPED PARKING C","400.0","2019","5","1","14","5"
"URR7823","VA","Lexus","Four Door","White","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2019","6","7","9","6"
"UZM6203","VA","Kia","Four Door","Gray","E OLNEY ROAD","HANDICAPPED PARKING C","400.0","2019","6","15","20","6"
"URT1298","VA","Mercedes-Benz","Four Door","Brown","UNION STREET","HANDICAPPED PARKING C","400.0","2019","7","3","16","7"
"FELISAN","VA","Hyundai","Four Door","Black","UNION STREET","HANDICAPPED PARKING C","400.0","2019","8","5","9","8"
"BLUPALM","VA","Dodge","Truck","White","E LITTLE CREEK ROAD","HANDICAPPED PARKING C","400.0","2019","8","27","17","8"
"CUBLESD","VA","Dodge","Truck","Silver","UNION STREET","HANDICAPPED PARKING C","400.0","2019","8","30","14","8"
"VHP2349","VA","Toyota","Sports Utility Veh","White","E PLUME STREET","HANDICAPPED PARKING C","400.0","2019","10","6","1","10"
"USZ1228","VA","Infiniti","Two Door","White","MOWBRAY ARCH","HANDICAPPED PARKING C","400.0","2019","10","27","17","10"
"5887XA","VA","Honda","Four Door","Gray","CITY HALL AVE","HANDICAPPED PARKING C","400.0","2019","11","6","10","11"
"UPM4949","VA","Dodge","Four Door","Silver","TIDEWATER DRIVE","HANDICAPPED PARKING C","400.0","2019","11","7","16","11"
"UWJ1875","VA","General Motors","Sports Utility Veh","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","400.0","2019","11","9","19","11"
"UUB5112","VA","Acura","Sports Utility Veh","Black","TIDEWATER DRIVE","HANDICAPPED PARKING C","400.0","2019","11","29","13","11"
"UUL5968","VA","Chrysler","Van","Blue","CITY HALL SOUTH GARAGE","HANDICAPPED PARKING C","400.0","2019","12","10","14","12"
"VUW2603","VA","Acura","Van","Gray","E CITY HALL AVENUE","HANDICAPPED PARKING C","395.0","2019","6","17","13","6"
"UKU3342","VA","Toyota","Four Door","Gold","CLIFTON STREET","HANDICAPPED PARKING ","390.0","2020","7","1","9","7"
"PZU40","SC","Nissan","Four Door","Blue","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","7","13","7","7"
"42031Z","VA","Toyota","Four Door","Gold","E BRAMBLETON AVENUE","HANDICAPPED PARKING ","390.0","2020","7","14","7","7"
"G37132","VA","Honda","Van","Blue","E BRAMBLETON AVENUE","HANDICAPPED PARKING ","390.0","2020","7","21","7","7"
"SYGARJ1","VA","Infiniti","Four Door","Gold","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","7","22","7","7"
"VUB1942","VA","Dodge","Sports Utility Veh","Silver","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","7","23","7","7"
"UPM3815","VA","Hyundai","Four Door","Gray","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","7","23","7","7"
"ID48812","VA","Ford","Truck","Blue","E PLUME STREET","HANDICAPPED PARKING ","390.0","2020","7","31","9","7"
"B86705","VA","Honda","Four Door","Blue","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","8","5","7","8"
"K66796","VA","Chrysler","Station Wagon","Blue","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","8","24","7","8"
"K63821","VA","Chevrolet","Sports Utility Veh","Black","STONEY POINT SOUTH","HANDICAPPED PARKING ","390.0","2020","8","27","9","8"
"UPC1972","VA","BMW","Four Door","Gray","FAUQUIER STREET","HANDICAPPED PARKING ","390.0","2020","10","6","9","10"
"L51607","VA","Nissan","Four Door","White","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2020","10","16","7","10"
"PKS5371","NC","Toyota","Four Door","Green","A AVENUE","HANDICAPPED PARKING ","390.0","2020","10","21","12","10"
"UWF5420","VA","Chevrolet","Four Door","Brown","W 49TH ST","HANDICAPPED PARKING ","390.0","2020","10","26","9","10"
"7530","VA","Honda","Four Door"," ","TIDEWATER DRIVE","HANDICAPPED PARKING ","390.0","2020","11","4","15","11"
"ULX4770","VA","Nissan","Four Door","Black","BOUSH STREET","HANDICAPPED PARKING ","390.0","2020","11","5","20","11"
"HB2497","NC","Chevrolet","Truck"," ","NORVIEW AVENUE","HANDICAPPED PARKING ","390.0","2020","11","10","8","11"
"577YTA","AR","Mercedes-Benz","Four Door","Silver","NORVIEW AVENUE","HANDICAPPED PARKING ","390.0","2020","11","13","9","11"
"WWN7904","VA","Mazda","Four Door","Silver","GRAYDON AVENUE","HANDICAPPED PARKING ","390.0","2020","11","13","20","11"
"T00822367","VA","BMW","Four Door","Silver","GARAGE A ","HANDICAPPED PARKING ","390.0","2020","11","22","18","11"
"6472MK","SC","Hyundai","Sedan","Silver","CITY HALL AVE","HANDICAPPED PARKING ","390.0","2020","11","24","10","11"
"UJM3266","VA","Toyota","Four Door","Black","BROOKE AVENUE","HANDICAPPED PARKING ","390.0","2020","12","2","19","12"
"UWZ7095","VA","Acura","Four Door","Black","YORK STREET","HANDICAPPED PARKING ","390.0","2020","12","4","11","12"
"ASIARAY","VA","Honda","Four Door","Red","TIDEWATER DRIVE","HANDICAPPED PARKING ","390.0","2020","12","8","11","12"
"UZN5352","VA","Toyota","Four Door","White","LITTLE CREEK RD","HANDICAPPED PARKING ","390.0","2020","12","26","17","12"
"S20360","VA","Dodge","Four Door","Blue","GATLING AVENUE","HANDICAPPED PARKING ","390.0","2021","1","9","18","1"
"K62534","VA","Chevrolet","Four Door","Black","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2021","1","19","7","1"
"ID90075","VA","Mercedes-Benz","Sports Utility Veh","Blue","NORVIEW AVENUE","HANDICAPPED PARKING ","390.0","2021","1","24","0","1"
"VJZ2233","VA","Chrysler","Van"," ","GATLING AVENUE","HANDICAPPED PARKING ","390.0","2021","2","16","22","2"
"PXP3656","GA","Volkswagen"," "," ","DIVEN ARCH","HANDICAPPED PARKING ","390.0","2021","2","20","19","2"
"S61928","VA","Honda","Four Door","Green","GRANBY STREET","HANDICAPPED PARKING ","390.0","2021","2","24","15","2"
"WNV2804","VA","Toyota","Four Door","Black","BOUSH STREET","HANDICAPPED PARKING ","390.0","2021","3","5","21","3"
"UKU2294","VA","Hyundai","Four Door","Blue","W 39TH STREET","HANDICAPPED PARKING ","390.0","2021","3","7","0","3"
"UJT8458","VA","Chevrolet","Four Door","Gray","VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2021","3","10","8","3"
"77875Z","VA","Subaru","Four Door","Gray","PARK AVENUE","HANDICAPPED PARKING ","390.0","2021","3","12","21","3"
"UTB8675","VA","Volvo","Sports Utility Veh","Gold","BOLLING AVENUE","HANDICAPPED PARKING ","390.0","2021","3","14","10","3"
"Y83671","VA","Nissan","Four Door","White","W 49TH ST","HANDICAPPED PARKING ","390.0","2021","3","16","11","3"
"X52119","VA","Chrysler"," ","Silver","MONTICELLO AVENUE","HANDICAPPED PARKING ","390.0","2021","3","17","12","3"
"555601","VA","Mazda"," ","White","HABOR POINTE CT","HANDICAPPED PARKING ","390.0","2021","3","18","23","3"
"X63824","VA","Mercedes-Benz","Two Door","Silver","LEXINGTON STREET","HANDICAPPED PARKING ","390.0","2021","3","20","2","3"
"UJG9325","VA","Toyota","Four Door","Gray","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","390.0","2021","3","25","7","3"
"ULL1911","VA","Lexus","Four Door","Red","STONEY POINT SOUTH","HANDICAPPED PARKING ","390.0","2021","4","1","21","4"
"UHD3809","VA","Ford","Four Door","Red","BROOKE AVENUE","HANDICAPPED PARKING ","390.0","2021","4","2","19","4"
"LYMV46","FL","Kia","Four Door","Blue","BONNOT DRIVE","HANDICAPPED PARKING ","390.0","2021","4","4","13","4"
"DFVB10","FL","Mitsubishi","Four Door","White","NORVIEW AVENUE","HANDICAPPED PARKING ","390.0","2021","4","6","10","4"
"YXH8237","VA","General Motors","Sports Utility Veh","BRONZE","KIMBALL TERRACE","HANDICAPPED PARKING ","390.0","2021","4","9","10","4"
"11643A","VA","Ford","Four Door","Silver","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","9","12","4"
"M74865","VA","Toyota","Sports Utility Veh","Blue","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","9","12","4"
"VFP9684","VA"," ","Four Door","Blue","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","9","13","4"
"PUDNGRL","VA","Lincoln","Sports Utility Veh","White","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","9","13","4"
"M24129","VA","Volkswagen","Hatchback","Red","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","9","13","4"
"L17032","VA","Hyundai","Sports Utility Veh","Green","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","13","9","4"
"PUDNGRL","VA","Lincoln","Sports Utility Veh","White","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","13","9","4"
"G29600","VA","Cadillac","Sedan","Gray","KIMBALL TERRACE","HANDICAPPED PARKING ","390.0","2021","4","13","15","4"
"UKT8825","VA","Honda","Four Door","Green","WILEY DRIVE","HANDICAPPED PARKING ","390.0","2021","4","14","9","4"
"PUDNGRI","VA","Lincoln","Four Door","Beige","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","14","9","4"
"PUDNGRL","VA","Lincoln","Sports Utility Veh","White","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","15","8","4"
"X22364","VA","Nissan","Sports Utility Veh","Black","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","16","19","4"
"X15732","VA","Lexus"," ","Silver","WHITAKER LANE","HANDICAPPED PARKING ","390.0","2021","4","20","8","4"
"81009A","VA","Ford","Four Door","Black","BAGNALL ROAD","HANDICAPPED PARKING ","390.0","2021","4","20","8","4"
"5391XN","MD","Dodge","Sports Utility Veh","White","LISA DRIVE","HANDICAPPED PARKING ","390.0","2021","4","21","12","4"
"UHY2627","VA","Kia","Four Door","Blue","GOFF STREET","HANDICAPPED PARKING ","390.0","2021","4","22","1","4"
"K22075","VA","Acura","Sports Utility Veh","White","BAGNALL ROAD","HANDICAPPED PARKING ","390.0","2021","4","29","20","4"
"USM4467","VA","Honda","Sports Utility Veh","Red","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","4","30","9","4"
"35462A","VA","Honda","Four Door","Silver","TIDEWATER DRIVE","HANDICAPPED PARKING ","390.0","2021","4","30","12","4"
"USK2631","VA","Honda"," ","Silver","GREEN LEAF DRIVE","HANDICAPPED PARKING ","390.0","2021","5","5","17","5"
"UUR5602","VA","Mercedes-Benz","Sedan","Blue","LEAD STREET","HANDICAPPED PARKING C","384.0","2019","10","11","7","10"
"UZM5087","VA","Nissan","Four Door","Blue","UNION STREET","HANDICAPPED PARKING C","380.0","2020","1","7","9","1"
"UNT1001","VA","Honda","Van","Gray","UNION STREET","HANDICAPPED PARKING C","380.0","2020","1","14","11","1"
"VSD6599","VA","Audi","Sports Utility Veh","White","UNION STREET","HANDICAPPED PARKING C","380.0","2020","1","22","10","1"
"UPZ1447","VA","Hyundai","Four Door","Black","WONSAN STREET","HANDICAPPED PARKING C","380.0","2020","2","8","4","2"
"UFR3156","VA","Ford","Sports Utility Veh","Silver","KIMBALL TERRACE","HANDICAPPED PARKING ","375.0","2021","4","9","10","4"
"UUY7264","VA","Toyota","Four Door","Red","E PLUME STREET","HANDICAPPED PARKING C","375.0","2019","2","8","23","2"
"UUD2018","VA","Mazda","Sedan","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","375.0","2019","2","23","12","2"
"UTY8130","VA","Lexus","Sports Utility Veh","White","STONEY POINT NORTH","HANDICAPPED PARKING C","375.0","2019","6","29","13","6"
"X84023","VA","Toyota","Four Door","Black","INTERNATIONAL BOULEVARD","HANDICAPPED PARKING C","375.0","2019","7","17","13","7"
"90436R","VA","Chevrolet","Sedan","Gold","N MILITARY HWY","HANDICAPPED PARKING C","375.0","2019","7","27","10","7"
"UVC9948","VA","Ford","Four Door","Gray","EAST CITY HALL AVE","HANDICAPPED PARKING C","375.0","2019","9","4","8","9"
"UTU2947","VA","Nissan"," ","Silver","TIDEWATER DRIVE","HANDICAPPED PARKING C","375.0","2019","9","23","18","9"
"UYL5079","VA","Nissan","Four Door","Gold","UNION STREET","HANDICAPPED PARKING C","375.0","2019","12","16","14","12"
"X22169","VA","Nissan","Sports Utility Veh","White","GATLING AVENUE","HANDICAPPED PARKING ","370.0","2021","5","6","9","5"
"4049772","VA","Acura","Four Door","Green","KIMBALL TERRACE","HANDICAPPED PARKING ","370.0","2021","5","6","14","5"
"K48080","VA","Ford","Four Door","Black","CHAPEL STREET","HANDICAPPED PARKING ","370.0","2021","5","7","11","5"
"13747B","VA","Mercedes-Benz","Four Door","Gray","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","8","18","5"
"UKY8773","VA","Nissan","Four Door","Gray","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","12","6","5"
"UJM8156","VA","Dodge","Four Door","Black","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","12","7","5"
"13218C","VA","Chrysler","Van","White","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","13","8","5"
"55961C","VA","Hyundai","Four Door","Blue","SEAY AVENUE","HANDICAPPED PARKING ","370.0","2021","5","16","8","5"
"90597Z","VA","Honda","Van","Silver","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","17","8","5"
"UHT8529","VA","Chevrolet","Four Door","White","GREEN LEAF DRIVE","HANDICAPPED PARKING ","370.0","2021","5","17","8","5"
"UKH9935","VA","Volvo","Sports Utility Veh","Black","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","370.0","2021","5","18","8","5"
"UHB1861","VA","Mitsubishi","Sports Utility Veh"," ","CHURCH STREET","HANDICAPPED PARKING ","370.0","2021","5","18","16","5"
"UWG2192","VA","Ford","Sports Utility Veh","Beige","E MAIN STREET","HANDICAPPED PARKING ","370.0","2021","5","19","12","5"
"VGN3075","VA","Hyundai","Four Door","Black","BROOKE AVENUE","HANDICAPPED PARKING ","370.0","2021","5","20","19","5"
"VLZ7344","VA","Honda","Four Door","Red","W 49TH ST","HANDICAPPED PARKING ","370.0","2021","5","24","10","5"
"CMK4363","NC","Dodge","Van","Silver","NORVIEW AVENUE","HANDICAPPED PARKING ","370.0","2021","5","26","19","5"
"UEG5099","VA","Mercedes-Benz","Four Door","White","COLLEGE PLACE","HANDICAPPED PARKING ","370.0","2021","5","29","23","5"
"WUS7766","VA","Chevrolet","Two Door","Black","W BUTE STREET","HANDICAPPED PARKING C","355.0","2020","1","4","12","1"
"ZX7685","VA","Mercedes-Benz","Four Door","Gold","BROOKE AVENUE","HANDICAPPED PARKING C","355.0","2020","1","11","18","1"
"18938E","VA","Infiniti","Sports Utility Veh","Blue","MAIN ST GARAGE","HANDICAPPED PARKING ","350.0","2021","6","8","9","6"
"UEC7977","VA","Chevrolet","Four Door","Green","GRANBY STREET","HANDICAPPED PARKING ","350.0","2021","6","9","0","6"
"UFJ1155","VA","Hyundai","Four Door","Gray","VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","6","14","16","6"
"M50296","VA","Honda","Four Door","Black","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","6","15","8","6"
"UJH1099","VA","Chevrolet","Sports Utility Veh","Silver","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","6","17","8","6"
"12228A","VA","Nissan","Four Door","Red","MARCY STREET","HANDICAPPED PARKING ","350.0","2021","6","18","8","6"
"UJK2571","VA","Honda","Van","Black","STANWIX SQUARE","HANDICAPPED PARKING ","350.0","2021","6","24","10","6"
"97299A","VA","Ford","Four Door","Burgundy","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","6","25","8","6"
"UFL6616","VA","Hyundai","Four Door","Red","GRANBY STREET","HANDICAPPED PARKING ","350.0","2021","6","27","19","6"
"S87025","VA","Lexus","Four Door","Red","MONTICELLO AVENUE","HANDICAPPED PARKING ","350.0","2021","6","29","12","6"
"512226","VA","Mazda","Sedan","Silver","OLNEY ROAD","HANDICAPPED PARKING ","350.0","2021","7","2","19","7"
"TBZ8067","NC","Toyota"," ","Gold","BAY POINT DRIVE","HANDICAPPED PARKING ","350.0","2021","7","5","13","7"
"48889B","VA","Honda","Four Door","Black","MARCY STREET","HANDICAPPED PARKING ","350.0","2021","7","7","7","7"
"Y96360","VA","Acura","Four Door","Gold","EAST CITY HALL AVE","HANDICAPPED PARKING ","350.0","2021","7","7","13","7"
"93343A","VA","Ford","Sports Utility Veh","Blue","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","7","8","7","7"
"DNNIE57","VA","Nissan","Four Door","Black","W 49TH ST","HANDICAPPED PARKING ","350.0","2021","7","8","14","7"
"UEE3872","VA","Dodge"," ","Purple","BROOKE AVENUE","HANDICAPPED PARKING ","350.0","2021","7","11","17","7"
"LCRLSN","VA","Lincoln","Sports Utility Veh","Silver","NORVIEW AVENUE","HANDICAPPED PARKING ","350.0","2021","7","12","5","7"
"UGR5571","VA","Acura"," "," ","NORVIEW AVENUE","HANDICAPPED PARKING ","350.0","2021","7","12","6","7"
"VMU3048","VA","Ford"," ","Black","NORVIEW AVENUE","HANDICAPPED PARKING ","350.0","2021","7","12","6","7"
"4DR2556","VA","Mercedes-Benz","Sports Utility Veh","White","TIDEWATER DRIVE","HANDICAPPED PARKING ","350.0","2021","7","15","10","7"
"TCT6668","NC","Toyota","Four Door","Gray","W 49TH ST","HANDICAPPED PARKING ","350.0","2021","7","26","14","7"
"G33629","VA","Nissan","Four Door","Silver","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","350.0","2021","7","27","8","7"
"TCT6668","NC","Toyota","Four Door","Gray","W 49TH ST","HANDICAPPED PARKING ","350.0","2021","7","29","14","7"
"UXC4549","VA","Lexus","Four Door","Silver","KIMBALL TERRACE","HANDICAPPED PARKING C","350.0","2018","10","8","8","10"
"UWK4766","VA","Chevrolet","Four Door","Black","GRANBY STREET","HANDICAPPED PARKING C","350.0","2018","12","16","19","12"
"UZS5106","VA","Chevrolet","Four Door","White","N MILITARY HIGHWAY","HANDICAPPED PARKING C","350.0","2018","12","29","11","12"
"9025UX","VA","Honda","Two Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","350.0","2019","3","4","9","3"
"22127HM","VA","Ford","Truck","Tan","UNION STREET","HANDICAPPED PARKING C","350.0","2019","4","4","13","4"
